"Ano"," A","B","C","D","E","F"
"2009","6126.5","14086.6","1361.25","274.16","39.25","3.5"
"2010","8725.83","6058.7","1,967,625","453.6","80","10.5"
"2011","13094","9172.5","3124","758.5","138.25","12.5"
"2012","12452.3","8793.4","3016.75","734.8","151.75","24.5"
"2013","11770","8312.4","2,850","709.6","156.75","17"
"2014","12265.5","8662.3","2981.25","747","159.5","20.5"
"2015","11897.16","6847.8","2,877","755.8","145","23.5"
"2016","12426.8","8620.3","2981.25","791.5","170.25","21"
"2017","13339.83","9160.6","3,147","838.8","177.25","21.5"
"2018","13854.83","9454.6","3258.87","899","183.5","17.5"
"2019","13655.6","9062.3","3,127","816","168.25","20"
"2020","11996.3","8072.1","2749.37","726","146.25","9.5"
"2021","13934.83","9204","3,086","783.5","157","10.5"
"2022","14786.83","9550.3","3265.62","838.5","142.5","15.5"
